Gene,Non-unique Gene name,Annotation,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
cupC2,cupC2,chaperone CupC2,GCDEOBMB_01520,DBBBBKPJ_02009,INHMNHHN_03833,PDFLHPBO_02882,FNCGEDBI_01282
proB,proB,gamma-glutamyl kinase,GCDEOBMB_02884,DBBBBKPJ_03438,INHMNHHN_01950,PDFLHPBO_00428,FNCGEDBI_02229
waaG,waaG,UDP-glucose:(heptosyl) LPS alpha 13-glucosyltransferase WaaG,GCDEOBMB_04633,DBBBBKPJ_01596,INHMNHHN_02572,PDFLHPBO_04936,FNCGEDBI_02714
braC,braC,branched-chain amino acid ABC transporter substrate-binding protein BraC,GCDEOBMB_01605,DBBBBKPJ_04509,INHMNHHN_03918,PDFLHPBO_02796,FNCGEDBI_01127
catB,catB,muconate cycloisomerase I,GCDEOBMB_02525,DBBBBKPJ_06199,INHMNHHN_05297,PDFLHPBO_04526,FNCGEDBI_03581
pilB,pilB,type 4 fimbrial biogenesis protein PilB,GCDEOBMB_00972,DBBBBKPJ_03481,INHMNHHN_01993,PDFLHPBO_00973,FNCGEDBI_03881
group_1588,,hypothetical protein,GCDEOBMB_02790,DBBBBKPJ_02242,INHMNHHN_01697,PDFLHPBO_02179,FNCGEDBI_04245
rlmG,rlmG,Ribosomal RNA large subunit methyltransferase G,GCDEOBMB_04218,DBBBBKPJ_03383,INHMNHHN_01896,PDFLHPBO_00374,FNCGEDBI_02283
rnd,rnd,ribonuclease D,GCDEOBMB_03991,DBBBBKPJ_00739,INHMNHHN_05577,PDFLHPBO_04004,FNCGEDBI_06305
group_1582,,ABC transporter permease,GCDEOBMB_05171,DBBBBKPJ_05179,INHMNHHN_04909,PDFLHPBO_00862,FNCGEDBI_03705
group_1581,,hypothetical protein,GCDEOBMB_02849,DBBBBKPJ_02419,INHMNHHN_03760,PDFLHPBO_00464,FNCGEDBI_02193
group_1577,,aminotransferase,GCDEOBMB_02502,DBBBBKPJ_01736,INHMNHHN_05321,PDFLHPBO_04503,FNCGEDBI_03604
addA,addA,ATP-dependent helicase/nuclease subunit A,GCDEOBMB_02830,DBBBBKPJ_02044,INHMNHHN_03783,PDFLHPBO_00483,FNCGEDBI_02166
group_1572,,hypothetical protein,GCDEOBMB_02826,DBBBBKPJ_02040,INHMNHHN_03787,PDFLHPBO_00488,FNCGEDBI_02162
group_1569,,hypothetical protein,GCDEOBMB_03805,DBBBBKPJ_05969,INHMNHHN_06048,PDFLHPBO_05157,FNCGEDBI_05631
prpC,prpC,methylcitrate synthase,GCDEOBMB_02767,DBBBBKPJ_02219,INHMNHHN_01674,PDFLHPBO_02156,FNCGEDBI_04268
group_1568,,acyl-CoA dehydrogenase,GCDEOBMB_02480,DBBBBKPJ_01714,INHMNHHN_05343,PDFLHPBO_04481,FNCGEDBI_03626
group_1566,,hypothetical protein,GCDEOBMB_02163,DBBBBKPJ_02767,INHMNHHN_04326,PDFLHPBO_03777,FNCGEDBI_04875
group_1565,,hypothetical protein,GCDEOBMB_02190,DBBBBKPJ_01393,INHMNHHN_02370,PDFLHPBO_04737,FNCGEDBI_02913
group_1564,,hypothetical protein,GCDEOBMB_00775,DBBBBKPJ_03692,INHMNHHN_02192,PDFLHPBO_01173,FNCGEDBI_04080
group_1560,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,GCDEOBMB_00818,DBBBBKPJ_03649,INHMNHHN_02149,PDFLHPBO_01130,FNCGEDBI_04037
group_1559,,hypothetical protein,GCDEOBMB_05143,DBBBBKPJ_05208,INHMNHHN_04938,PDFLHPBO_00891,FNCGEDBI_03676
cupC1,cupC1,fimbrial subunit CupC1,GCDEOBMB_01519,DBBBBKPJ_02010,INHMNHHN_03832,PDFLHPBO_02883,FNCGEDBI_01283
group_1556,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,GCDEOBMB_01838,DBBBBKPJ_03264;DBBBBKPJ_03265,INHMNHHN_01559,PDFLHPBO_02492,FNCGEDBI_00829
group_1555,,hypothetical protein,GCDEOBMB_03810,DBBBBKPJ_05641,INHMNHHN_04986,PDFLHPBO_03151,FNCGEDBI_05359
pvdN_2,pvdN_2,pyoverdine biosynthesis protein PvdN,GCDEOBMB_05644,DBBBBKPJ_02636,INHMNHHN_04196,PDFLHPBO_01638,FNCGEDBI_05128
group_1552,,hypothetical protein,GCDEOBMB_05792;GCDEOBMB_05793,DBBBBKPJ_02099;DBBBBKPJ_02098,INHMNHHN_01072,PDFLHPBO_04083;PDFLHPBO_04082,FNCGEDBI_05093;FNCGEDBI_05092
group_1551,,hypothetical protein,GCDEOBMB_05790,DBBBBKPJ_02101,INHMNHHN_01070,PDFLHPBO_04085,FNCGEDBI_05095
group_1550,,resistance-nodulation-cell division (RND) efflux transporter,GCDEOBMB_05563;GCDEOBMB_05562,DBBBBKPJ_03263,INHMNHHN_01560,PDFLHPBO_02491,FNCGEDBI_00828
nudC_2,nudC_2,NADH pyrophosphatase,GCDEOBMB_01517,DBBBBKPJ_02012,INHMNHHN_06136,PDFLHPBO_02885,FNCGEDBI_01285
exsB,exsB,exoenzyme S synthesis protein ExsB,GCDEOBMB_03328,DBBBBKPJ_04089,INHMNHHN_00163,PDFLHPBO_03384,FNCGEDBI_01568
flhB,flhB,flagellar biosynthesis protein FlhB,GCDEOBMB_05576,DBBBBKPJ_03250,INHMNHHN_01573,PDFLHPBO_02478,FNCGEDBI_00815
group_1547,,glycosyl transferase family protein,GCDEOBMB_04627,DBBBBKPJ_01590,INHMNHHN_02566,PDFLHPBO_04930,FNCGEDBI_02720
group_1546,,hypothetical protein,GCDEOBMB_00281,DBBBBKPJ_03858,INHMNHHN_04383,PDFLHPBO_03735,FNCGEDBI_04721
group_1545,,acyl-CoA dehydrogenase,GCDEOBMB_00880,DBBBBKPJ_03587,INHMNHHN_02087,PDFLHPBO_01068,FNCGEDBI_03975
group_1544,,ABC transporter permease,GCDEOBMB_05505,DBBBBKPJ_04140,INHMNHHN_03011,PDFLHPBO_02036;PDFLHPBO_02037,FNCGEDBI_01333
group_1540,,frataxin-like protein,GCDEOBMB_03290,DBBBBKPJ_05329,INHMNHHN_05964,PDFLHPBO_06113,FNCGEDBI_06073
group_1539,,hypothetical protein,GCDEOBMB_02835,DBBBBKPJ_02049,INHMNHHN_03778,PDFLHPBO_00478,FNCGEDBI_02179
group_1538,,hypothetical protein,GCDEOBMB_02833,DBBBBKPJ_02047,INHMNHHN_03780,PDFLHPBO_00480,FNCGEDBI_02177
group_1535,,acyl-CoA thiolase,GCDEOBMB_05624,DBBBBKPJ_02656,INHMNHHN_04215,PDFLHPBO_01657,FNCGEDBI_05147
group_1529,,hypothetical protein,GCDEOBMB_04815,DBBBBKPJ_04790,INHMNHHN_04860,PDFLHPBO_00813,FNCGEDBI_03754
group_1519,,hypothetical protein,GCDEOBMB_00439,DBBBBKPJ_02157,INHMNHHN_05047,PDFLHPBO_04095,FNCGEDBI_03428
pdxB,pdxB,erythronate-4-phosphate dehydrogenase,GCDEOBMB_04076,DBBBBKPJ_01625,INHMNHHN_01236,PDFLHPBO_03633,FNCGEDBI_05766
group_1515,,hypothetical protein,GCDEOBMB_02843,DBBBBKPJ_02431,INHMNHHN_03770,PDFLHPBO_00470,FNCGEDBI_02187
group_1514,,hypothetical protein,GCDEOBMB_02841,DBBBBKPJ_02433,INHMNHHN_03772,PDFLHPBO_00472,FNCGEDBI_02185
group_1513,,hypothetical protein,GCDEOBMB_01796,DBBBBKPJ_01899,INHMNHHN_01294,PDFLHPBO_03572,FNCGEDBI_04311
group_1510,,esterase,GCDEOBMB_01577,DBBBBKPJ_04481,INHMNHHN_03890,PDFLHPBO_02824,FNCGEDBI_01155
group_1509,,hypothetical protein,GCDEOBMB_02902,DBBBBKPJ_03420,INHMNHHN_01932,PDFLHPBO_00410,FNCGEDBI_02247
group_1501,,acyl-CoA dehydrogenase,GCDEOBMB_01552,DBBBBKPJ_04454,INHMNHHN_03865,PDFLHPBO_02850,FNCGEDBI_01180
oprD_2~~~oprD_1,oprD_2;oprD_1,porin D,GCDEOBMB_00321,DBBBBKPJ_03896,INHMNHHN_04422,PDFLHPBO_03697,FNCGEDBI_04682
pqsH,pqsH,2-heptyl-3-hydroxy-4(1H)-quinolone synthase,GCDEOBMB_06451,DBBBBKPJ_06125,INHMNHHN_05381,PDFLHPBO_06133,FNCGEDBI_03664
group_1493,,hypothetical protein,GCDEOBMB_05591,DBBBBKPJ_04836,INHMNHHN_06139,PDFLHPBO_06211,FNCGEDBI_03537
group_1492,,hypothetical protein,GCDEOBMB_04769,DBBBBKPJ_04605,INHMNHHN_05668,PDFLHPBO_00772,FNCGEDBI_06411
oprD_1~~~oprD_3~~~oprD_2,;oprD_1;oprD_3;oprD_2,hypothetical protein;porin D,GCDEOBMB_01917;GCDEOBMB_01916,DBBBBKPJ_02386,INHMNHHN_03727,PDFLHPBO_02345,FNCGEDBI_01307
alkB1,alkB1,alkane-1 monooxygenase,GCDEOBMB_02454,DBBBBKPJ_01683,INHMNHHN_05366,PDFLHPBO_04455,FNCGEDBI_03649
group_1491,,acyl-CoA dehydrogenase,GCDEOBMB_01834,DBBBBKPJ_01937,INHMNHHN_01256,PDFLHPBO_03610,FNCGEDBI_04273
group_1489,,transcriptional regulator,GCDEOBMB_04811,DBBBBKPJ_04786,INHMNHHN_04856,PDFLHPBO_00809,FNCGEDBI_03758
group_1488,,hypothetical protein,GCDEOBMB_03327,DBBBBKPJ_04090,INHMNHHN_00164,PDFLHPBO_03385,FNCGEDBI_01567
group_1485,,hypothetical protein,GCDEOBMB_06377,DBBBBKPJ_01373,INHMNHHN_02349;INHMNHHN_02348;INHMNHHN_02350,PDFLHPBO_04717,FNCGEDBI_02933
group_1483,,acyl-CoA dehydrogenase,GCDEOBMB_06176,DBBBBKPJ_06115,INHMNHHN_05409,PDFLHPBO_06143,FNCGEDBI_06257
group_1481,,MFS metabolite transporter,GCDEOBMB_03297,DBBBBKPJ_04120,INHMNHHN_00194,PDFLHPBO_03415,FNCGEDBI_01536
group_1480,,hypothetical protein,GCDEOBMB_04238,DBBBBKPJ_06138,INHMNHHN_00367,PDFLHPBO_05905,FNCGEDBI_04973
group_1479,,multidrug resistance efflux pump,GCDEOBMB_03932,DBBBBKPJ_00680,INHMNHHN_01450,PDFLHPBO_02587,FNCGEDBI_00953
dapE,dapE,succinyl-diaminopimelate desuccinylase,GCDEOBMB_03854,DBBBBKPJ_00601,INHMNHHN_04465,PDFLHPBO_02662,FNCGEDBI_01028
group_1477,,hypothetical protein,GCDEOBMB_04427,DBBBBKPJ_04170,INHMNHHN_04597,PDFLHPBO_05253,FNCGEDBI_06013
group_1474,,thiolase,GCDEOBMB_01545,DBBBBKPJ_04446,INHMNHHN_03858,PDFLHPBO_02857,FNCGEDBI_01187
group_1473,,hypothetical protein,0_refound_14_stop,DBBBBKPJ_05203,INHMNHHN_04933,PDFLHPBO_00886,FNCGEDBI_03681
group_1471,,hypothetical protein,GCDEOBMB_05528,DBBBBKPJ_04151,INHMNHHN_04618,PDFLHPBO_05234,FNCGEDBI_01322
group_1470,,major facilitator superfamily transporter,GCDEOBMB_03829,DBBBBKPJ_05622,INHMNHHN_04965,PDFLHPBO_03172,FNCGEDBI_06437
group_1468,,hypothetical protein,GCDEOBMB_01967,DBBBBKPJ_02336,INHMNHHN_03677,PDFLHPBO_02295,FNCGEDBI_04148
group_1467,,rubredoxin reductase,GCDEOBMB_05299,DBBBBKPJ_01173,INHMNHHN_03527,PDFLHPBO_04550,FNCGEDBI_06147
argE,argE,acetylornithine deacetylase,GCDEOBMB_05196,DBBBBKPJ_05922,INHMNHHN_04884,PDFLHPBO_00837,FNCGEDBI_03730
group_1466,,gluconate permease,GCDEOBMB_03836,DBBBBKPJ_05615,INHMNHHN_04958,PDFLHPBO_03179,FNCGEDBI_06316
group_1465,,hypothetical protein,GCDEOBMB_00304,DBBBBKPJ_03879,INHMNHHN_04405,PDFLHPBO_03714,FNCGEDBI_04699
group_1464,,chemotaxis transducer,GCDEOBMB_04261,DBBBBKPJ_05593,INHMNHHN_00345,PDFLHPBO_05927,FNCGEDBI_04996
pilQ,pilQ,type 4 fimbrial biogenesis outer membrane protein PilQ,GCDEOBMB_04663,DBBBBKPJ_05895,INHMNHHN_02602,PDFLHPBO_04966,FNCGEDBI_02684
cupC3,cupC3,usher CupC3,GCDEOBMB_01521,DBBBBKPJ_02008,INHMNHHN_03834,PDFLHPBO_02881,FNCGEDBI_01281
group_1458,,hypothetical protein,GCDEOBMB_03560,DBBBBKPJ_03937,INHMNHHN_00011,PDFLHPBO_03233,FNCGEDBI_01797
ftsN_2~~~ftsN,ftsN_2;ftsN,Cell division protein FtsN,GCDEOBMB_04675,DBBBBKPJ_04699,INHMNHHN_02614,PDFLHPBO_00678,FNCGEDBI_02672
group_1457,,sensor/response regulator hybrid protein,GCDEOBMB_02444,DBBBBKPJ_01673,INHMNHHN_05376,PDFLHPBO_04445,FNCGEDBI_03659
group_1456,,major facilitator superfamily transporter,GCDEOBMB_01645,DBBBBKPJ_04549,INHMNHHN_03958,PDFLHPBO_02761,FNCGEDBI_01082
group_1454,,phospholipase,GCDEOBMB_00782,DBBBBKPJ_03685,INHMNHHN_02185,PDFLHPBO_01166,FNCGEDBI_04073
wzz_1,wzz_1,O-antigen chain length regulator,GCDEOBMB_01939,DBBBBKPJ_02364,INHMNHHN_03705,PDFLHPBO_02323,FNCGEDBI_04120
group_1451,,transcriptional regulator,GCDEOBMB_00290,DBBBBKPJ_03865,INHMNHHN_04391,PDFLHPBO_03728,FNCGEDBI_04713
group_1448,,acyl-CoA dehydrogenase,GCDEOBMB_04601,DBBBBKPJ_01563,INHMNHHN_02539,PDFLHPBO_04904,FNCGEDBI_02747
group_1447,,hypothetical protein,GCDEOBMB_04195,DBBBBKPJ_03361,INHMNHHN_00741,PDFLHPBO_00590,FNCGEDBI_02305
group_1446,,acyl-CoA dehydrogenase,GCDEOBMB_02002,DBBBBKPJ_02301,INHMNHHN_03642,PDFLHPBO_02262,FNCGEDBI_04183
pilY1,pilY1,type 4 fimbrial biogenesis protein PilY1,GCDEOBMB_02873,DBBBBKPJ_03449,INHMNHHN_01961,PDFLHPBO_00439,FNCGEDBI_02218
group_1440,,hypothetical protein,GCDEOBMB_05211,DBBBBKPJ_04799,INHMNHHN_04869,PDFLHPBO_00822,FNCGEDBI_03745
group_1439,,major facilitator superfamily transporter,GCDEOBMB_05262,DBBBBKPJ_01210,INHMNHHN_03565,PDFLHPBO_04588,FNCGEDBI_06109
group_1438,,iron-containing alcohol dehydrogenase,GCDEOBMB_04819,DBBBBKPJ_04794,INHMNHHN_04864,PDFLHPBO_00817,FNCGEDBI_03750
group_1437,,NAD(P)H dehydrogenase,GCDEOBMB_03920,DBBBBKPJ_00668,INHMNHHN_01438,PDFLHPBO_02599,FNCGEDBI_00965
group_1434,,transcriptional regulator,GCDEOBMB_02063,DBBBBKPJ_02667,INHMNHHN_04226,PDFLHPBO_01668,FNCGEDBI_05158
phaF_2~~~phaF_1,;phaF_2;phaF_1,hypothetical protein;polyhydroxyalkanoate synthesis protein PhaF,GCDEOBMB_04683,DBBBBKPJ_04691,INHMNHHN_02622,PDFLHPBO_00686,FNCGEDBI_02664
speC,speC,ornithine decarboxylase,GCDEOBMB_00965,DBBBBKPJ_03502,INHMNHHN_02002,PDFLHPBO_00983,FNCGEDBI_03890
group_1432,,hypothetical protein,GCDEOBMB_01566,DBBBBKPJ_04470,INHMNHHN_03879,PDFLHPBO_02835,FNCGEDBI_01166
group_1430,,acyl-CoA dehydrogenase,GCDEOBMB_00429,DBBBBKPJ_02167,INHMNHHN_05057,PDFLHPBO_04105,FNCGEDBI_03418
group_1429,,hypothetical protein,GCDEOBMB_00387,DBBBBKPJ_02209,INHMNHHN_01665,PDFLHPBO_02147,FNCGEDBI_03376
group_1427,,transcriptional regulator,GCDEOBMB_01747,DBBBBKPJ_01851,INHMNHHN_01342,PDFLHPBO_03479,FNCGEDBI_04359
group_1425,,aminotransferase,GCDEOBMB_01711,DBBBBKPJ_01815,INHMNHHN_01378,PDFLHPBO_03443,FNCGEDBI_04396
group_1424,,major facilitator superfamily transporter,GCDEOBMB_00798,DBBBBKPJ_03669,INHMNHHN_02169,PDFLHPBO_01150,FNCGEDBI_04057
sucC,sucC,succinyl-CoA ligase subunit beta,GCDEOBMB_01779,DBBBBKPJ_01882,INHMNHHN_01311,PDFLHPBO_03510,FNCGEDBI_04328
group_1422,,hypothetical protein,GCDEOBMB_02836,DBBBBKPJ_02050,INHMNHHN_03777,PDFLHPBO_00477,FNCGEDBI_02180
group_1421,,hypothetical protein,GCDEOBMB_03801,DBBBBKPJ_05973,INHMNHHN_06044,PDFLHPBO_05161,FNCGEDBI_05635
group_1420,,hypothetical protein,GCDEOBMB_05241,DBBBBKPJ_05323,INHMNHHN_05958,PDFLHPBO_03189,FNCGEDBI_06296
aaeB_3~~~aaeB_5,;aaeB_3;aaeB_5,hypothetical protein;p-hydroxybenzoic acid efflux pump subunit AaeB,GCDEOBMB_03967,DBBBBKPJ_00715,INHMNHHN_01481;INHMNHHN_01482,PDFLHPBO_02556,FNCGEDBI_00907
group_1419,,major facilitator superfamily transporter,GCDEOBMB_03554,DBBBBKPJ_03943,INHMNHHN_00017,PDFLHPBO_03239,FNCGEDBI_01791
group_1416,,major facilitator superfamily transporter,GCDEOBMB_03283,DBBBBKPJ_05336,INHMNHHN_05971,PDFLHPBO_06120,FNCGEDBI_06080
cbpD,cbpD,chitin-binding protein CbpD,GCDEOBMB_02030,DBBBBKPJ_02273,INHMNHHN_03614,PDFLHPBO_02233,FNCGEDBI_04212
group_1415,,hydrolase,GCDEOBMB_02071,DBBBBKPJ_02675,INHMNHHN_04234,PDFLHPBO_01676,FNCGEDBI_05166
group_1414,,hypothetical protein,GCDEOBMB_00443,DBBBBKPJ_02153,INHMNHHN_05043,PDFLHPBO_04091,FNCGEDBI_03432
algW,algW,AlgW protein,GCDEOBMB_00891,DBBBBKPJ_03576,INHMNHHN_02076,PDFLHPBO_01057,FNCGEDBI_03964
aruH_2,aruH_2,arginine:pyruvate transaminase AruH,GCDEOBMB_05843,DBBBBKPJ_01295,INHMNHHN_02270,PDFLHPBO_04639,FNCGEDBI_03011
popB,popB,translocator protein PopB,GCDEOBMB_03324,DBBBBKPJ_04093,INHMNHHN_00167,PDFLHPBO_03388,FNCGEDBI_01564
dnaX,dnaX,DNA polymerase III subunits gamma/tau,GCDEOBMB_01837,DBBBBKPJ_01940,INHMNHHN_01253,PDFLHPBO_03613,FNCGEDBI_04270
group_1407,,hypothetical protein,GCDEOBMB_02259,DBBBBKPJ_01462,INHMNHHN_02439,PDFLHPBO_04804,FNCGEDBI_02845
group_1406,,putative FAD-dependent oxidoreductase,GCDEOBMB_04614,DBBBBKPJ_01576,INHMNHHN_02552,PDFLHPBO_04917,FNCGEDBI_02734
group_1402,,hypothetical protein,GCDEOBMB_00827,DBBBBKPJ_03640,INHMNHHN_02140,PDFLHPBO_01121,FNCGEDBI_04028
group_1401,,hypothetical protein,GCDEOBMB_06445,DBBBBKPJ_05966,INHMNHHN_01400,PDFLHPBO_03421,FNCGEDBI_04418
tatB,tatB,sec-independent translocase,GCDEOBMB_04692,DBBBBKPJ_04682,INHMNHHN_02631,PDFLHPBO_00695,FNCGEDBI_02655
group_1400,,major facilitator superfamily transporter,GCDEOBMB_02060,DBBBBKPJ_02664,INHMNHHN_04223,PDFLHPBO_01665,FNCGEDBI_05155
group_1398,,hypothetical protein,GCDEOBMB_03883,DBBBBKPJ_00630,INHMNHHN_04494,PDFLHPBO_02633,FNCGEDBI_00999
atoB,atoB,acetyl-CoA acetyltransferase,GCDEOBMB_04398,DBBBBKPJ_04199,INHMNHHN_04568,PDFLHPBO_05282,FNCGEDBI_06042
group_1397,,pyridoxal-phosphate dependent protein,GCDEOBMB_05507,DBBBBKPJ_04138,INHMNHHN_03013,PDFLHPBO_02034,FNCGEDBI_01335
aruH_1,aruH_1,arginine:pyruvate transaminase AruH,GCDEOBMB_04598,DBBBBKPJ_01560,INHMNHHN_02536,PDFLHPBO_04901,FNCGEDBI_02750
chpA_2,chpA_2,chemotactic signal transduction system protein,GCDEOBMB_03526,DBBBBKPJ_03971,INHMNHHN_00045,PDFLHPBO_03267,FNCGEDBI_01763
group_1394,,short-chain dehydrogenase,GCDEOBMB_02075,DBBBBKPJ_02679,INHMNHHN_04238,PDFLHPBO_01680,FNCGEDBI_05170
xdhB,xdhB,xanthine dehydrogenase,GCDEOBMB_06358,DBBBBKPJ_01949,INHMNHHN_01244,PDFLHPBO_03628,FNCGEDBI_06425
yfdE_3,yfdE_3,Acetyl-CoA:oxalate CoA-transferase,GCDEOBMB_03880,DBBBBKPJ_00627,INHMNHHN_04491,PDFLHPBO_02636,FNCGEDBI_01002
group_1393,,alpha/beta hydrolase,GCDEOBMB_03988,DBBBBKPJ_00736,INHMNHHN_01503,PDFLHPBO_02535,FNCGEDBI_00885
group_1391,,major facilitator superfamily transporter,GCDEOBMB_01799,DBBBBKPJ_01902,INHMNHHN_01291,PDFLHPBO_03575,FNCGEDBI_04308
xcpS_1,xcpS_1;,type II secretion system protein F;type II secretion system protein,GCDEOBMB_00973,DBBBBKPJ_03480,INHMNHHN_01992,PDFLHPBO_00972,FNCGEDBI_03880
str,str,streptomycin 3''-phosphotransferase,GCDEOBMB_03565,DBBBBKPJ_06055,INHMNHHN_00006,PDFLHPBO_03228,FNCGEDBI_01802
group_1389,,ring-cleaving dioxygenase,GCDEOBMB_02789,DBBBBKPJ_02241,INHMNHHN_01696,PDFLHPBO_02178,FNCGEDBI_04246
group_1388,,ATP phosphoribosyltransferase,GCDEOBMB_04561,DBBBBKPJ_01523,INHMNHHN_02499,PDFLHPBO_04864,FNCGEDBI_02787
group_1387,,monovalent cation/H+ antiporter subunit G,GCDEOBMB_01590,DBBBBKPJ_04494,INHMNHHN_03903,PDFLHPBO_02811,FNCGEDBI_01142
ubiH,ubiH,2-octaprenyl-6-methoxyphenyl hydroxylase,GCDEOBMB_05179,DBBBBKPJ_05171,INHMNHHN_04901,PDFLHPBO_00854,FNCGEDBI_03713
group_1384,,ring-cleaving dioxygenase,GCDEOBMB_02487,DBBBBKPJ_01721,INHMNHHN_05336,PDFLHPBO_04488,FNCGEDBI_03619
phnA,phnA,anthranilate synthase component I,GCDEOBMB_01528,DBBBBKPJ_02001,INHMNHHN_03841,PDFLHPBO_02874,FNCGEDBI_01274
group_1383,,hypothetical protein,GCDEOBMB_04709,DBBBBKPJ_04665,INHMNHHN_02648,PDFLHPBO_00714,FNCGEDBI_02638
group_1382,,multidrug resistance protein,GCDEOBMB_04785,DBBBBKPJ_04752,INHMNHHN_04835,PDFLHPBO_00788,FNCGEDBI_03821
ftsZ,ftsZ,cell division protein FtsZ,GCDEOBMB_00852,DBBBBKPJ_03615,INHMNHHN_02115,PDFLHPBO_01096,FNCGEDBI_04003
group_1380,,secretion protein,GCDEOBMB_05221,DBBBBKPJ_06241,INHMNHHN_05939,PDFLHPBO_03208,FNCGEDBI_06276
arsH~~~arsH_2,arsH;arsH_2,NADPH-dependent FMN reductase ArsH,GCDEOBMB_03797,DBBBBKPJ_05977,INHMNHHN_06040,PDFLHPBO_05165,FNCGEDBI_05639
ackA_2,ackA_2,acetate kinase,GCDEOBMB_02046,DBBBBKPJ_02257,INHMNHHN_03598,PDFLHPBO_02217,FNCGEDBI_04228
group_1379,,metal transporter,GCDEOBMB_03994,DBBBBKPJ_00742,INHMNHHN_05580,PDFLHPBO_04001,4_refound_68
group_1378,,two-component response regulator,GCDEOBMB_00274,DBBBBKPJ_03798,INHMNHHN_04374,PDFLHPBO_03744,FNCGEDBI_04728
group_1377,,hypothetical protein,GCDEOBMB_02845,DBBBBKPJ_02423,INHMNHHN_03764,PDFLHPBO_02893,FNCGEDBI_02189
hcnC_2~~~hcnC_1,hcnC_2;hcnC_1,hydrogen cyanide synthase subunit HcnC,GCDEOBMB_03964,DBBBBKPJ_00712,INHMNHHN_01478,PDFLHPBO_02559,FNCGEDBI_00910
pslF,pslF,biofilm formation protein PslF,GCDEOBMB_03752,DBBBBKPJ_06022,INHMNHHN_05995,PDFLHPBO_06192,FNCGEDBI_05684
group_1376,,FkbP-type peptidyl-prolyl cis-trans isomerase,GCDEOBMB_02877,DBBBBKPJ_03445,INHMNHHN_01957,PDFLHPBO_00435,FNCGEDBI_02222
group_1372,,hypothetical protein,GCDEOBMB_00804,DBBBBKPJ_03663,INHMNHHN_02163,PDFLHPBO_01144,FNCGEDBI_04051
group_1371,,hypothetical protein,GCDEOBMB_03583;GCDEOBMB_05218;GCDEOBMB_03582,DBBBBKPJ_06038;DBBBBKPJ_06037;DBBBBKPJ_06238,INHMNHHN_05936,PDFLHPBO_03211,FNCGEDBI_06273;FNCGEDBI_06271;FNCGEDBI_06272
phnB,phnB,anthranilate synthase component II,GCDEOBMB_01529,DBBBBKPJ_02000,INHMNHHN_03842,PDFLHPBO_02873,FNCGEDBI_01203
group_1368,,hypothetical protein,GCDEOBMB_03382,DBBBBKPJ_04035,INHMNHHN_00109,PDFLHPBO_03330,FNCGEDBI_01622
group_1367,,hypothetical protein,GCDEOBMB_03777,DBBBBKPJ_05997,INHMNHHN_06020,PDFLHPBO_05185,FNCGEDBI_05659
group_1365,,hypothetical protein,GCDEOBMB_04725,DBBBBKPJ_04649,INHMNHHN_02663,PDFLHPBO_00728,FNCGEDBI_02624
group_1364,,acyl-CoA thiolase,GCDEOBMB_02479,DBBBBKPJ_01713,INHMNHHN_05344,PDFLHPBO_04480,FNCGEDBI_03627
bamC,bamC,Outer membrane protein assembly factor BamC,GCDEOBMB_01538,DBBBBKPJ_01991,INHMNHHN_03851,PDFLHPBO_02864,FNCGEDBI_01194
mdaB,mdaB,NADPH:quinone oxidoreductase MdaB,GCDEOBMB_02448,DBBBBKPJ_01677,INHMNHHN_05372,PDFLHPBO_04449,FNCGEDBI_03655
pcoA_2~~~pcoA,pcoA_2;pcoA,copper resistance protein A,GCDEOBMB_05510,DBBBBKPJ_04135,INHMNHHN_03016,PDFLHPBO_02031,FNCGEDBI_01338
pslM,pslM,FAD-binding dehydrogenase,GCDEOBMB_03759,DBBBBKPJ_06015,INHMNHHN_06002,PDFLHPBO_06199,FNCGEDBI_05677
group_1357,,major facilitator superfamily transporter,GCDEOBMB_05183,DBBBBKPJ_05167,INHMNHHN_04897,PDFLHPBO_00850,FNCGEDBI_03717
group_1356,,hypothetical protein,GCDEOBMB_00440,DBBBBKPJ_02156,INHMNHHN_05046,PDFLHPBO_04094,FNCGEDBI_03429
fimT,fimT,type 4 fimbrial biogenesis protein FimT,GCDEOBMB_02868,DBBBBKPJ_03454,INHMNHHN_01966,PDFLHPBO_00444,FNCGEDBI_02213
group_1355,,ABC transporter permease,GCDEOBMB_02913,DBBBBKPJ_03409,INHMNHHN_01921,PDFLHPBO_00399,FNCGEDBI_02258
group_1354,,hypothetical protein,GCDEOBMB_01700,DBBBBKPJ_05955,INHMNHHN_01389,PDFLHPBO_03432,FNCGEDBI_04407
group_1351,,hypothetical protein,GCDEOBMB_00754,DBBBBKPJ_03713,INHMNHHN_02213,PDFLHPBO_01194,FNCGEDBI_04101
group_1350,,major facilitator superfamily transporter,GCDEOBMB_05116,DBBBBKPJ_00150,INHMNHHN_03042,PDFLHPBO_02005,FNCGEDBI_01367
group_1349,,reductase,GCDEOBMB_05636,DBBBBKPJ_02644,INHMNHHN_04204,PDFLHPBO_01646,FNCGEDBI_05136
pucB,pucB,Purine catabolism protein PucB,GCDEOBMB_04217,DBBBBKPJ_03382,INHMNHHN_01895,PDFLHPBO_00373,FNCGEDBI_02284
