Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
group_2397,,hydrolase,5,5,1.0,2,3383,,,,699,699,699.0,GCDEOBMB_03284,DBBBBKPJ_05335,INHMNHHN_05970,PDFLHPBO_06119,FNCGEDBI_06079
group_2396,,ABC transporter ATP-binding protein,5,5,1.0,2,3382,,,,699,699,699.0,GCDEOBMB_02239,DBBBBKPJ_01442,INHMNHHN_02420,PDFLHPBO_04785,FNCGEDBI_02864
pyrF,pyrF,orotidine 5'-phosphate decarboxylase,5,5,1.0,2,3381,,,,699,699,699.0,GCDEOBMB_02117,DBBBBKPJ_02721,INHMNHHN_04280,PDFLHPBO_01722,FNCGEDBI_05212
aotM,aotM,arginine/ornithine ABC transporter permease AotM,5,5,1.0,2,3380,,,,699,699,699.0,GCDEOBMB_01991,DBBBBKPJ_02312,INHMNHHN_03653,PDFLHPBO_02273,FNCGEDBI_04172
ccmA,ccmA,cytochrome c biogenesis ATP-binding export protein CcmA,5,5,1.0,2,3378,,,,702,702,702.0,GCDEOBMB_06346,DBBBBKPJ_03225,INHMNHHN_01599,PDFLHPBO_02453,FNCGEDBI_00789
group_2394,,hypothetical protein,5,5,1.0,2,3377,,,,702,702,702.0,GCDEOBMB_05632,DBBBBKPJ_02648,INHMNHHN_04208,PDFLHPBO_01650,FNCGEDBI_05140
group_2393,,multiple drug resistance protein MarC,5,5,1.0,2,3376,,,,702,702,702.0,GCDEOBMB_05197,DBBBBKPJ_05921,INHMNHHN_04883,PDFLHPBO_00836,FNCGEDBI_03731
group_2390,,hypothetical protein,5,5,1.0,2,3372,,,,702,702,702.0,GCDEOBMB_03286,DBBBBKPJ_05333,INHMNHHN_05968,PDFLHPBO_06117,FNCGEDBI_06077
group_2389,,haloacid dehalogenase,5,5,1.0,2,3371,,,,702,702,702.0,GCDEOBMB_02782,DBBBBKPJ_02234,INHMNHHN_01689,PDFLHPBO_02171,FNCGEDBI_04253
group_2388,,hypothetical protein,5,5,1.0,2,3370,,,,702,702,702.0,GCDEOBMB_02248,DBBBBKPJ_01451,INHMNHHN_02429,PDFLHPBO_04794,FNCGEDBI_02855
braG,braG,ABC transporter ATP-binding protein,5,5,1.0,2,3369,,,,702,702,702.0,GCDEOBMB_01601,DBBBBKPJ_04505,INHMNHHN_03914,PDFLHPBO_02800,FNCGEDBI_01131
group_2387,,hypothetical protein,5,6,1.2,2,3368,,,,624,1662,1092.0,GCDEOBMB_05518,DBBBBKPJ_04127,INHMNHHN_03024,PDFLHPBO_02023,FNCGEDBI_01349;FNCGEDBI_01348
recO,recO,DNA repair protein RecO,5,5,1.0,2,3367,,,,702,702,702.0,GCDEOBMB_00402,DBBBBKPJ_02194,INHMNHHN_01650,PDFLHPBO_02132,FNCGEDBI_03391
rcpA,rcpA,type II/III secretion system protein,5,5,1.0,2,3363,,,,1251,1251,1251.0,GCDEOBMB_05961,DBBBBKPJ_03289,INHMNHHN_02221,PDFLHPBO_01202,FNCGEDBI_01527
group_2383,,NAD(P)H quinone oxidoreductase,5,5,1.0,2,3362,,,,705,705,705.0,GCDEOBMB_04597,DBBBBKPJ_01559,INHMNHHN_02535,PDFLHPBO_04900,FNCGEDBI_02751
group_2382,,transporter,5,5,1.0,2,3361,,,,705,705,705.0,GCDEOBMB_04198,DBBBBKPJ_03364,INHMNHHN_00744,PDFLHPBO_00587,FNCGEDBI_02302
group_2381,,DNA replication initiation factor,5,5,1.0,2,3360,,,,705,705,705.0,GCDEOBMB_01929,DBBBBKPJ_02374,INHMNHHN_03715,PDFLHPBO_02333,FNCGEDBI_04110
inaA_1,inaA_1,Protein InaA,5,5,1.0,2,3359,,,,705,705,705.0,GCDEOBMB_00822,DBBBBKPJ_03645,INHMNHHN_02145,PDFLHPBO_01126,FNCGEDBI_04033
group_2380,,hypothetical protein,5,5,1.0,2,3358,,,,117,117,117.0,GCDEOBMB_03499,DBBBBKPJ_03998,INHMNHHN_00072,PDFLHPBO_03294,FNCGEDBI_01736
mlaA,mlaA,Intermembrane phospholipid transport system lipoprotein MlaA,5,5,1.0,2,3357,,,,705,705,705.0,GCDEOBMB_00272,DBBBBKPJ_03796,INHMNHHN_04372,PDFLHPBO_03746,FNCGEDBI_04730
group_2378,,sugar fermentation stimulation protein A,5,5,1.0,2,3355,,,,708,708,708.0,GCDEOBMB_05844,DBBBBKPJ_01294,INHMNHHN_02269,PDFLHPBO_04638,FNCGEDBI_03012
group_2377,,16S ribosomal RNA methyltransferase RsmE,5,5,1.0,2,3354,,,,708,708,708.0,GCDEOBMB_04694,DBBBBKPJ_04680,INHMNHHN_02633,PDFLHPBO_00697,FNCGEDBI_02653
parR,parR,two-component response regulator ParR,5,5,1.0,2,3353,,,,708,708,708.0,GCDEOBMB_03502,DBBBBKPJ_03995,INHMNHHN_00069,PDFLHPBO_03291,FNCGEDBI_01739
sdhB,sdhB,succinate dehydrogenase iron-sulfur subunit,5,5,1.0,2,3352,,,,708,708,708.0,GCDEOBMB_01783,DBBBBKPJ_01886,INHMNHHN_01307,PDFLHPBO_03514,FNCGEDBI_04324
group_2376,,hypothetical protein,5,5,1.0,2,3351,,,,711,711,711.0,GCDEOBMB_04585,DBBBBKPJ_01547,INHMNHHN_02523,PDFLHPBO_04888,FNCGEDBI_02763
group_2375,,hypothetical protein,5,5,1.0,2,3350,,,,711,711,711.0,GCDEOBMB_04436,DBBBBKPJ_04161,INHMNHHN_04607,PDFLHPBO_05244,FNCGEDBI_06003
group_2374,,two-component response regulator,5,5,1.0,2,3349,,,,711,711,711.0,GCDEOBMB_03849,DBBBBKPJ_00596,INHMNHHN_04460,PDFLHPBO_02667,FNCGEDBI_01033
group_2373,,hypothetical protein,5,5,1.0,2,3348,,,,711,711,711.0,GCDEOBMB_03535,DBBBBKPJ_03962,INHMNHHN_00036,PDFLHPBO_03258,FNCGEDBI_01772
rluF,rluF,Dual-specificity RNA pseudouridine synthase RluF,5,5,1.0,2,3347,,,,711,711,711.0,GCDEOBMB_01647,DBBBBKPJ_04551,INHMNHHN_03960,PDFLHPBO_02759,FNCGEDBI_01080
purC,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,5,5,1.0,2,3346,,,,711,711,711.0,GCDEOBMB_01540,DBBBBKPJ_01989,INHMNHHN_03853,PDFLHPBO_02862,FNCGEDBI_01192
group_2372,,hypothetical protein,5,5,1.0,2,3345,,,,711,711,711.0,GCDEOBMB_00941,DBBBBKPJ_03526,INHMNHHN_02026,PDFLHPBO_01007,FNCGEDBI_03914
qscR,qscR,quorum-sensing control repressor,5,5,1.0,2,3344,,,,714,714,714.0,GCDEOBMB_05243,DBBBBKPJ_05325,INHMNHHN_05960,PDFLHPBO_03187,FNCGEDBI_06298
group_2371,,ABC transporter ATP-binding protein,5,5,1.0,2,3342,,,,714,714,714.0,GCDEOBMB_02914,DBBBBKPJ_03408,INHMNHHN_01920,PDFLHPBO_00398,FNCGEDBI_02259
group_2370,,transcriptional regulator,5,5,1.0,2,3341,,,,714,714,714.0,GCDEOBMB_02284,DBBBBKPJ_01487,INHMNHHN_02464,PDFLHPBO_04829,FNCGEDBI_02820
hisM,hisM,histidine ABC transporter permease HisM,5,5,1.0,2,3340,,,,714,714,714.0,GCDEOBMB_02068,DBBBBKPJ_02672,INHMNHHN_04231,PDFLHPBO_01673,FNCGEDBI_05163
yiaD,yiaD,putative lipoprotein YiaD,5,5,1.0,2,3339,,,,714,714,714.0,GCDEOBMB_02049,DBBBBKPJ_02254,INHMNHHN_03595,PDFLHPBO_02214,FNCGEDBI_04231
group_2369,,transcriptional regulator,5,5,1.0,2,3338,,,,714,714,714.0,GCDEOBMB_01972,DBBBBKPJ_02331,INHMNHHN_03672,PDFLHPBO_02290,FNCGEDBI_04153
group_2368,,hypothetical protein,5,5,1.0,2,3337,,,,714,714,714.0,GCDEOBMB_01643,DBBBBKPJ_04547,INHMNHHN_03956,PDFLHPBO_02763,FNCGEDBI_01084
flgD,flgD,flagellar basal body rod modification protein,5,5,1.0,2,3336,,,,714,714,714.0,GCDEOBMB_01610,DBBBBKPJ_04514,INHMNHHN_03923,PDFLHPBO_02791,FNCGEDBI_01122
group_2367,,hypothetical protein,5,5,1.0,2,3335,,,,1140,1143,1141.2,GCDEOBMB_05696,DBBBBKPJ_03190,INHMNHHN_01634,PDFLHPBO_02418,FNCGEDBI_00754
group_2366,,hypothetical protein,5,5,1.0,2,3334,,,,717,717,717.0,GCDEOBMB_05831,DBBBBKPJ_02060,INHMNHHN_01111,PDFLHPBO_04045,FNCGEDBI_05054
group_2364,,Gluconate 2-dehydrogenase subunit 3,5,5,1.0,2,3332,,,,717,717,717.0,GCDEOBMB_03781,DBBBBKPJ_05993,INHMNHHN_06024,PDFLHPBO_05181,FNCGEDBI_05655
group_2363,,ABC transporter ATP-binding protein,5,5,1.0,2,3331,,,,717,717,717.0,GCDEOBMB_02287,DBBBBKPJ_01490,INHMNHHN_02467,PDFLHPBO_04832,FNCGEDBI_02817
group_2362,,hypothetical protein,5,5,1.0,2,3330,,,,717,717,717.0,GCDEOBMB_01933,DBBBBKPJ_02370,INHMNHHN_03711,PDFLHPBO_02329,FNCGEDBI_04114
group_2361,,transcriptional regulator,5,5,1.0,2,3329,,,,717,717,717.0,GCDEOBMB_01682,DBBBBKPJ_04585,INHMNHHN_03994,PDFLHPBO_02725,FNCGEDBI_01046
dnaJ,dnaJ,molecular chaperone DnaJ,5,5,1.0,2,3327,,,,1134,1134,1134.0,GCDEOBMB_06084,DBBBBKPJ_01335,INHMNHHN_02311,PDFLHPBO_04679,FNCGEDBI_02971
fliA,fliA,flagellar biosynthesis sigma factor FliA,5,5,1.0,2,3323,,,,720,720,720.0,GCDEOBMB_05582,DBBBBKPJ_03244,INHMNHHN_01579,PDFLHPBO_02472,FNCGEDBI_00809
rph,rph,ribonuclease PH,5,5,1.0,2,3322,,,,720,720,720.0,GCDEOBMB_05284,DBBBBKPJ_01188,INHMNHHN_03542,PDFLHPBO_04565,FNCGEDBI_06132
group_2356,,two-component response regulator,5,5,1.0,2,3321,,,,720,720,720.0,GCDEOBMB_01948,DBBBBKPJ_02355,INHMNHHN_03696,PDFLHPBO_02314,FNCGEDBI_04129
lasR,lasR,transcriptional regulator LasR,5,5,1.0,2,3320,,,,720,720,720.0,GCDEOBMB_01843,DBBBBKPJ_01667,INHMNHHN_01554,PDFLHPBO_02497,FNCGEDBI_00834
group_2355,,transcriptional regulator,5,5,1.0,2,3319,,,,720,720,720.0,GCDEOBMB_00270,DBBBBKPJ_03794,INHMNHHN_04370,PDFLHPBO_03748,FNCGEDBI_04732
group_2353,,hypothetical protein,5,5,1.0,2,3316,,,,723,723,723.0,GCDEOBMB_06341,DBBBBKPJ_03230,INHMNHHN_01593,PDFLHPBO_02458,FNCGEDBI_00795
group_2352,,amino acid ABC transporter ATP binding protein,5,5,1.0,2,3315,,,,723,723,723.0,GCDEOBMB_03952,DBBBBKPJ_00700,INHMNHHN_01466,PDFLHPBO_02571,FNCGEDBI_00922
group_2351,,UDP-23-diacylglucosamine hydrolase,5,5,1.0,2,3314,,,,723,723,723.0,GCDEOBMB_03409,DBBBBKPJ_04008,INHMNHHN_00082,PDFLHPBO_03303,FNCGEDBI_01649
group_2350,,amidotransferase,5,5,1.0,2,3313,,,,723,723,723.0,GCDEOBMB_03359,DBBBBKPJ_04058,INHMNHHN_00132,PDFLHPBO_03353,FNCGEDBI_01599
group_2349,,transcriptional regulator,5,5,1.0,2,3312,,,,723,723,723.0,GCDEOBMB_02769,DBBBBKPJ_02221,INHMNHHN_01676,PDFLHPBO_02158,FNCGEDBI_04266
carA,carA,carbamoyl phosphate synthase small subunit,5,5,1.0,2,3309,,,,1137,1137,1137.0,GCDEOBMB_06082,DBBBBKPJ_01333,INHMNHHN_02309,PDFLHPBO_04677,FNCGEDBI_02973
group_2346,,hypothetical protein,5,5,1.0,2,3308,,,,726,726,726.0,GCDEOBMB_01770,DBBBBKPJ_01873,INHMNHHN_01320,PDFLHPBO_03501,FNCGEDBI_04337
group_2345,,ABC transporter ATP-binding protein,5,5,1.0,2,3307,,,,726,726,726.0,GCDEOBMB_00907,DBBBBKPJ_03560,INHMNHHN_02060,PDFLHPBO_01041,FNCGEDBI_03948
phoU,phoU,phosphate uptake regulatory protein PhoU,5,5,1.0,2,3299,,,,729,729,729.0,GCDEOBMB_05315,DBBBBKPJ_01157,INHMNHHN_03511,PDFLHPBO_04534,FNCGEDBI_06163
pcpS,pcpS,4'-phosphopantetheinyl transferase,5,5,1.0,2,3298,,,,729,729,729.0,GCDEOBMB_03857,DBBBBKPJ_00604,INHMNHHN_04468,PDFLHPBO_02659,FNCGEDBI_01025
yfiH,yfiH,Polyphenol oxidase,5,5,1.0,2,3296,,,,729,729,729.0,GCDEOBMB_02861,DBBBBKPJ_03461,INHMNHHN_01973,PDFLHPBO_00451,FNCGEDBI_02206
group_2335,,cobalt-precorrin-6x reductase,5,5,1.0,2,3294,,,,729,729,729.0,GCDEOBMB_02084,DBBBBKPJ_02688,INHMNHHN_04247,PDFLHPBO_01689,FNCGEDBI_05179
gloB,gloB,Hydroxyacylglutathione hydrolase,5,5,1.0,2,3292,,,,729,729,729.0,GCDEOBMB_01858,DBBBBKPJ_01652,INHMNHHN_01539,PDFLHPBO_02512,FNCGEDBI_00849
stp1,stp1,serine/threonine phosphoprotein phosphatase Stp1,5,5,1.0,2,3291,,,,729,729,729.0,GCDEOBMB_01695,DBBBBKPJ_05960,INHMNHHN_01394,PDFLHPBO_03427,FNCGEDBI_04412
group_2333,,hydroxylase,5,5,1.0,2,3290,,,,729,729,729.0,GCDEOBMB_00961,DBBBBKPJ_03506,INHMNHHN_02006,PDFLHPBO_00987,FNCGEDBI_03894
group_2331,,hypothetical protein,5,5,1.0,2,3288,,,,732,732,732.0,GCDEOBMB_05290,DBBBBKPJ_01182,INHMNHHN_03536,PDFLHPBO_04559,FNCGEDBI_06138
group_2330,,hypothetical protein,5,5,1.0,2,3287,,,,732,732,732.0,GCDEOBMB_03349,DBBBBKPJ_04068,INHMNHHN_00142,PDFLHPBO_03363,FNCGEDBI_01589
group_2328,,ABC transporter ATP-binding protein,5,5,1.0,2,3284,,,,735,735,735.0,GCDEOBMB_04697,DBBBBKPJ_04677,INHMNHHN_02636,PDFLHPBO_00700,FNCGEDBI_02650
waaP_1,waaP_1,lipopolysaccharide kinase WaaP,5,5,1.0,2,3283,,,,735,735,735.0,GCDEOBMB_04631,DBBBBKPJ_01594,INHMNHHN_02570,PDFLHPBO_04934,FNCGEDBI_02716
group_2327,,two-component response regulator,5,5,1.0,2,3282,,,,735,735,735.0,GCDEOBMB_04606,DBBBBKPJ_01568,INHMNHHN_02544,PDFLHPBO_04909,FNCGEDBI_02742
group_2325,,amino acid ABC transporter ATP binding protein,5,5,1.0,2,3280,,,,735,735,735.0,GCDEOBMB_04036,DBBBBKPJ_00785,INHMNHHN_05622,PDFLHPBO_03959,FNCGEDBI_05798
group_2324,,hypothetical protein,5,5,1.0,2,3279,,,,735,735,735.0,GCDEOBMB_03862,DBBBBKPJ_00609,INHMNHHN_04473,PDFLHPBO_02654,FNCGEDBI_01020
pscJ,pscJ,type III export protein PscJ,5,5,1.0,2,3278,,,,735,735,735.0,GCDEOBMB_03339,DBBBBKPJ_04078,INHMNHHN_00152,PDFLHPBO_03373,FNCGEDBI_01579
anr,anr,transcriptional regulator Anr,5,5,1.0,2,3277,,,,735,735,735.0,GCDEOBMB_01825,DBBBBKPJ_01928,INHMNHHN_01265,PDFLHPBO_03601,FNCGEDBI_04282
group_2323,,hypothetical protein,5,5,1.0,2,3276,,,,735,735,735.0,GCDEOBMB_00833,DBBBBKPJ_03634,INHMNHHN_02134,PDFLHPBO_01115,FNCGEDBI_04022
group_2319,,short-chain dehydrogenase,5,5,1.0,2,3272,,,,738,738,738.0,GCDEOBMB_06342,DBBBBKPJ_03229,INHMNHHN_01594,PDFLHPBO_02457,FNCGEDBI_00794
group_2318,,hypothetical protein,5,5,1.0,2,3271,,,,738,738,738.0,GCDEOBMB_05237,DBBBBKPJ_05319,INHMNHHN_05954,PDFLHPBO_03193,FNCGEDBI_06292
group_2316,,short-chain dehydrogenase,5,5,1.0,2,3269,,,,738,738,738.0,GCDEOBMB_04776,DBBBBKPJ_04743,INHMNHHN_04826,PDFLHPBO_00779,FNCGEDBI_03830
hisA,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,5,5,1.0,2,3268,,,,738,738,738.0,GCDEOBMB_04764,DBBBBKPJ_04610,INHMNHHN_05673,PDFLHPBO_00767,FNCGEDBI_06406
cobV,cobV,adenosylcobinamide-GDP ribazoletransferase,5,5,1.0,2,3267,,,,738,738,738.0,GCDEOBMB_03978,DBBBBKPJ_00726,INHMNHHN_01493,PDFLHPBO_02545,FNCGEDBI_00896
cobA,cobA,uroporphyrin-III C-methyltransferase,5,5,1.0,2,3266,,,,738,738,738.0,GCDEOBMB_03395,DBBBBKPJ_04022,INHMNHHN_00096,PDFLHPBO_03317,FNCGEDBI_01635
group_2315,,hypothetical protein,5,5,1.0,2,3265,,,,738,738,738.0,GCDEOBMB_00760,DBBBBKPJ_03707,INHMNHHN_02207,PDFLHPBO_01188,FNCGEDBI_04095
group_2314,,hypothetical protein,5,5,1.0,2,3264,,,,738,738,738.0,GCDEOBMB_00446,DBBBBKPJ_02150,INHMNHHN_05040,PDFLHPBO_04088,FNCGEDBI_03435
motC,motC,flagellar motor protein,5,5,1.0,2,3257,,,,741,741,741.0,GCDEOBMB_05587,DBBBBKPJ_03239,INHMNHHN_01584,PDFLHPBO_02467,FNCGEDBI_00804
group_2309,,acyl-CoA dehydrogenase,5,5,1.0,2,3256,,,,1140,1140,1140.0,GCDEOBMB_03879,DBBBBKPJ_00626,INHMNHHN_04490,PDFLHPBO_02637,FNCGEDBI_01003
dnaQ,dnaQ,DNA polymerase III subunit epsilon,5,5,1.0,2,3255,,,,741,741,741.0,GCDEOBMB_03520,DBBBBKPJ_03977,INHMNHHN_00051,PDFLHPBO_03273,FNCGEDBI_01757
group_2308,,sulfate transporter CysZ,5,5,1.0,2,3254,,,,741,741,741.0,GCDEOBMB_02036,DBBBBKPJ_02267,INHMNHHN_03608,PDFLHPBO_02227,FNCGEDBI_04218
fabG,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,5,5,1.0,2,3250,,,,744,744,744.0,GCDEOBMB_05653,DBBBBKPJ_02627,INHMNHHN_04187,PDFLHPBO_01629,FNCGEDBI_05119
amgR,amgR,osmolarity response regulator,5,5,1.0,2,3249,,,,744,744,744.0,GCDEOBMB_05202,DBBBBKPJ_05916,INHMNHHN_04878,PDFLHPBO_00831,FNCGEDBI_03736
group_2303,,hypothetical protein,5,5,1.0,2,3247,,,,747,747,747.0,GCDEOBMB_05811,DBBBBKPJ_02080,INHMNHHN_01089,PDFLHPBO_04065,FNCGEDBI_05075
algR_2,algR_2,alginate biosynthesis regulatory protein AlgR,5,5,1.0,2,3246,,,,747,747,747.0,GCDEOBMB_05140,DBBBBKPJ_05211,INHMNHHN_04941,PDFLHPBO_00894,FNCGEDBI_03673
group_2302,,hypothetical protein,5,5,1.0,2,3244,,,,747,747,747.0,GCDEOBMB_04762,DBBBBKPJ_04612,INHMNHHN_05675,PDFLHPBO_00765,FNCGEDBI_06404
group_2301,,hypothetical protein,5,5,1.0,2,3243,,,,747,747,747.0,GCDEOBMB_04594,DBBBBKPJ_01556,INHMNHHN_02532,PDFLHPBO_04897,FNCGEDBI_02754
group_2300,,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,5,5,1.0,2,3242,,,,747,747,747.0,GCDEOBMB_04556,DBBBBKPJ_01518,INHMNHHN_02494,PDFLHPBO_04859,FNCGEDBI_02790
group_2299,,amino acid ABC transporter permease,5,5,1.0,2,3240,,,,747,747,747.0,GCDEOBMB_04038,DBBBBKPJ_00787,INHMNHHN_05624,PDFLHPBO_03957,FNCGEDBI_05796
tam_2,tam_2,Trans-aconitate 2-methyltransferase,5,5,1.0,2,3239,,,,747,747,747.0,GCDEOBMB_03908,DBBBBKPJ_00655,INHMNHHN_01429,PDFLHPBO_02608,FNCGEDBI_00974
speE_1,speE_1,Polyamine aminopropyltransferase,5,5,1.0,2,3236,,,,747,747,747.0,GCDEOBMB_02152,DBBBBKPJ_02756,INHMNHHN_04315,PDFLHPBO_03788,FNCGEDBI_04886
pmpR,pmpR,transcriptional regulator PmpR,5,5,1.0,2,3235,,,,747,747,747.0,GCDEOBMB_01910,DBBBBKPJ_02392,INHMNHHN_03733,PDFLHPBO_05823,FNCGEDBI_01301
pdxJ,pdxJ,pyridoxine 5'-phosphate synthase,5,5,1.0,2,3234,,,,747,747,747.0,GCDEOBMB_00401,DBBBBKPJ_02195,INHMNHHN_01651,PDFLHPBO_02133,FNCGEDBI_03390
cmoM,cmoM,tRNA 5-carboxymethoxyuridine methyltransferase,5,5,1.0,2,3230,,,,750,750,750.0,GCDEOBMB_06115,DBBBBKPJ_01366,INHMNHHN_02341,PDFLHPBO_04710,FNCGEDBI_02940
etfB,etfB,electron transfer flavoprotein subunit beta,5,5,1.0,2,3229,,,,750,750,750.0,GCDEOBMB_05638,DBBBBKPJ_02642,INHMNHHN_04202,PDFLHPBO_01644,FNCGEDBI_05134
group_2293,,hypothetical protein,5,5,1.0,2,3228,,,,750,750,750.0,GCDEOBMB_04048,DBBBBKPJ_00796,INHMNHHN_05633,PDFLHPBO_03948,FNCGEDBI_05786
group_2292,,transcriptional regulator,5,5,1.0,2,3227,,,,750,750,750.0,GCDEOBMB_03814,DBBBBKPJ_05637,INHMNHHN_04980,PDFLHPBO_03157,FNCGEDBI_06457
group_2291,,hypothetical protein,5,5,1.0,2,3226,,,,750,750,750.0,GCDEOBMB_02147,DBBBBKPJ_02751,INHMNHHN_04310,PDFLHPBO_03793,FNCGEDBI_04891
flgF,flgF,flagellar basal body rod protein FlgF,5,5,1.0,2,3225,,,,750,750,750.0,GCDEOBMB_01612,DBBBBKPJ_04516,INHMNHHN_03925,PDFLHPBO_02789,FNCGEDBI_01120
group_2290,,hypothetical protein,5,5,1.0,2,3224,,,,750,750,750.0,GCDEOBMB_00761,DBBBBKPJ_03706,INHMNHHN_02206,PDFLHPBO_01187,FNCGEDBI_04094
cobM,cobM,precorrin-4 C(11)-methyltransferase,5,5,1.0,2,3222,,,,753,753,753.0,GCDEOBMB_05634,DBBBBKPJ_02646,INHMNHHN_04206,PDFLHPBO_01648,FNCGEDBI_05138
phzF1,;phzF1,hypothetical protein;trans-23-dihydro-3-hydroxyanthranilate isomerase,5,9,1.8,2,3221,,,,855,1182,908.6666666666666,GCDEOBMB_05848;GCDEOBMB_05849,DBBBBKPJ_01290,INHMNHHN_02265;INHMNHHN_02264,PDFLHPBO_04634;PDFLHPBO_04633,FNCGEDBI_03016;FNCGEDBI_03017
group_2288,,amino acid ABC transporter substrate-binding protein,5,5,1.0,2,3220,,,,753,753,753.0,GCDEOBMB_04779,DBBBBKPJ_04746,INHMNHHN_04829,PDFLHPBO_00782,FNCGEDBI_03827
group_2287,,hypothetical protein,5,5,1.0,2,3219,,,,753,753,753.0,GCDEOBMB_04761,DBBBBKPJ_04613,INHMNHHN_05676,PDFLHPBO_00764,FNCGEDBI_06403
hutC,hutC,histidine utilization repressor HutC,5,5,1.0,2,3218,,,,753,753,753.0,GCDEOBMB_04728,DBBBBKPJ_04646,INHMNHHN_02666,PDFLHPBO_00731,FNCGEDBI_02621
pqqC,pqqC,pyrroloquinoline-quinone synthase,5,5,1.0,2,3217,,,,753,753,753.0,GCDEOBMB_04384,DBBBBKPJ_04213,INHMNHHN_04554,PDFLHPBO_05296,FNCGEDBI_06056
cobI,cobI,precorrin-2 C(20)-methyltransferase,5,5,1.0,2,3216,,,,753,753,753.0,GCDEOBMB_02089,DBBBBKPJ_02693,INHMNHHN_04252,PDFLHPBO_01694,FNCGEDBI_05184
group_2286,,hypothetical protein,5,5,1.0,2,3215,,,,897,1035,985.8,GCDEOBMB_01762,DBBBBKPJ_01865,INHMNHHN_01328,PDFLHPBO_03493,FNCGEDBI_04345
group_2284,,hypothetical protein,5,5,1.0,2,3213,,,,753,753,753.0,GCDEOBMB_00397,DBBBBKPJ_02199,INHMNHHN_01655,PDFLHPBO_02137,FNCGEDBI_03386
pruR,pruR,proline utilization regulator,5,5,1.0,2,3212,,,,753,753,753.0,GCDEOBMB_00394,DBBBBKPJ_02202,INHMNHHN_01658,PDFLHPBO_02140,FNCGEDBI_03383
lldD,lldD,L-lactate dehydrogenase,5,5,1.0,2,3211,,,,1146,1146,1146.0,GCDEOBMB_06095,DBBBBKPJ_01346,INHMNHHN_02322,PDFLHPBO_04690,FNCGEDBI_02960
tpiA,tpiA,triosephosphate isomerase,5,5,1.0,2,3210,,,,756,756,756.0,GCDEOBMB_06072,DBBBBKPJ_01323,INHMNHHN_02299,PDFLHPBO_04667,FNCGEDBI_02983
pqqE,pqqE,coenzyme PQQ synthesis protein E,5,5,1.0,2,3209,,,,1146,1146,1146.0,GCDEOBMB_04386,DBBBBKPJ_04211,INHMNHHN_04556,PDFLHPBO_05294,FNCGEDBI_06054
ccmC,ccmC,heme exporter protein CcmC,5,5,1.0,2,3208,,,,756,756,756.0,GCDEOBMB_05663,DBBBBKPJ_03223,INHMNHHN_01601,PDFLHPBO_02451,FNCGEDBI_00787
glcC,glcC,DNA-binding transcriptional regulator GlcC,5,5,1.0,2,3207,,,,756,756,756.0,GCDEOBMB_05306,DBBBBKPJ_01166,INHMNHHN_03520,PDFLHPBO_04543,FNCGEDBI_06154
hemD,hemD,uroporphyrinogen-III synthase,5,5,1.0,2,3206,,,,756,756,756.0,GCDEOBMB_05142,DBBBBKPJ_05209,INHMNHHN_04939,PDFLHPBO_00892,FNCGEDBI_03675
group_2283,,hypothetical protein,5,5,1.0,2,3205,,,,756,756,756.0,GCDEOBMB_04760,DBBBBKPJ_04614,INHMNHHN_05677,PDFLHPBO_00763,FNCGEDBI_06402
modA,modA,molybdenum ABC transporter substrate-binding protein ModA,5,5,1.0,2,3203,,,,756,756,756.0,GCDEOBMB_03570,DBBBBKPJ_06050,INHMNHHN_00001,PDFLHPBO_03223,FNCGEDBI_01807
group_2280,,hypothetical protein,5,5,1.0,2,3201,,,,756,756,756.0,GCDEOBMB_01790,DBBBBKPJ_01893,INHMNHHN_01300,PDFLHPBO_03566,FNCGEDBI_04317
group_2279,,hypothetical protein,5,5,1.0,2,3200,,,,756,756,756.0,GCDEOBMB_01560,DBBBBKPJ_04464,INHMNHHN_03873,PDFLHPBO_02841,FNCGEDBI_01172
pxpA3_1,pxpA3_1,5-oxoprolinase subunit A 3,5,5,1.0,2,3199,,,,756,756,756.0,GCDEOBMB_00957,DBBBBKPJ_03510,INHMNHHN_02010,PDFLHPBO_00991,FNCGEDBI_03898
group_2278,,hypothetical protein,5,5,1.0,2,3198,,,,756,756,756.0,GCDEOBMB_00793,DBBBBKPJ_03674,INHMNHHN_02174,PDFLHPBO_01155,FNCGEDBI_04062
group_2276,,hypothetical protein,5,5,1.0,2,3196,,,,759,759,759.0,GCDEOBMB_05151,DBBBBKPJ_05199,INHMNHHN_04929,PDFLHPBO_00882,FNCGEDBI_03685
inaA_2,inaA_2,Protein InaA,5,5,1.0,2,3195,,,,759,759,759.0,GCDEOBMB_04630,DBBBBKPJ_01593,INHMNHHN_02569,PDFLHPBO_04933,FNCGEDBI_02717
