Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,0F525Q1V,4D4LKLYR,A4O0PUJ2,AWGWLE2V,UE20R4AD
group_2045,,transcriptional regulator,5,5,1.0,1,3059,,,,801,801,801.0,INHMNHHN_03856,FNCGEDBI_01189,PDFLHPBO_02859,DBBBBKPJ_04444,GCDEOBMB_01543
group_2044,,transcriptional regulator,5,5,1.0,1,3058,,,,801,801,801.0,INHMNHHN_03534,FNCGEDBI_06140,PDFLHPBO_04557,DBBBBKPJ_01180,GCDEOBMB_05292
hutG,hutG,N-formylglutamate amidohydrolase,5,5,1.0,1,3057,,,,801,801,801.0,INHMNHHN_02652,FNCGEDBI_02635,PDFLHPBO_00717,DBBBBKPJ_04660,GCDEOBMB_04714
group_2043,,ABC transporter,5,5,1.0,1,3056,,,,801,801,801.0,INHMNHHN_02638,FNCGEDBI_02648,PDFLHPBO_00702,DBBBBKPJ_04675,GCDEOBMB_04699
tam_4,tam_4,Trans-aconitate 2-methyltransferase,5,5,1.0,1,3055,,,,801,801,801.0,INHMNHHN_02352,FNCGEDBI_02931,PDFLHPBO_04719,DBBBBKPJ_01375,GCDEOBMB_06379
panB,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,5,5,1.0,1,3054,,,,801,801,801.0,INHMNHHN_02278,FNCGEDBI_03003,PDFLHPBO_04647,DBBBBKPJ_01303,GCDEOBMB_06052
group_2042,,putative protein,5,5,1.0,1,3053,,,,801,801,801.0,INHMNHHN_00143,FNCGEDBI_01588,PDFLHPBO_03364,DBBBBKPJ_04069,GCDEOBMB_03348
lpxT,lpxT,Lipid A 1-diphosphate synthase,5,5,1.0,1,3051,,,,804,804,804.0,INHMNHHN_04872,FNCGEDBI_03742,PDFLHPBO_00825,DBBBBKPJ_05910,GCDEOBMB_05208
group_2041,,transcriptional regulator,5,5,1.0,1,3050,,,,804,804,804.0,INHMNHHN_04577,FNCGEDBI_06033,PDFLHPBO_05273,DBBBBKPJ_04190,GCDEOBMB_04407
rrmA,rrmA,rRNA methyltransferase,5,5,1.0,1,3049,,,,804,804,804.0,INHMNHHN_04464,FNCGEDBI_01029,PDFLHPBO_02663,DBBBBKPJ_00600,GCDEOBMB_03853
mttC_3,mttC_3,secretion protein MttC,5,5,1.0,1,3048,,,,804,804,804.0,INHMNHHN_04290,FNCGEDBI_05222,PDFLHPBO_01732,DBBBBKPJ_02731,GCDEOBMB_02127
ftsN_2~~~ftsN_1,ftsN_2;ftsN_1,Cell division protein FtsN,5,5,1.0,1,3047,,,,456,696,648.0,INHMNHHN_02614,FNCGEDBI_02672,PDFLHPBO_00678,DBBBBKPJ_04699,GCDEOBMB_04675
tatC,tatC,transporter TatC,5,5,1.0,1,3046,,,,804,804,804.0,INHMNHHN_02632,FNCGEDBI_02654,PDFLHPBO_00696,DBBBBKPJ_04681,GCDEOBMB_04693
group_2040,,transcriptional regulator,5,5,1.0,1,3045,,,,804,804,804.0,INHMNHHN_02237,FNCGEDBI_01511,PDFLHPBO_01218,DBBBBKPJ_03273,GCDEOBMB_05945
group_2038,,transcriptional regulator,5,5,1.0,1,3043,,,,807,807,807.0,INHMNHHN_05385,FNCGEDBI_06251,PDFLHPBO_06137,DBBBBKPJ_06121,GCDEOBMB_06182
group_2036,,flagellar assembly protein FliH,5,5,1.0,1,3041,,,,807,807,807.0,INHMNHHN_03953,FNCGEDBI_01087,PDFLHPBO_02766,DBBBBKPJ_04544,GCDEOBMB_01640
waaP_2,waaP_2,lipopolysaccharide kinase WaaP,5,5,1.0,1,3039,,,,807,807,807.0,INHMNHHN_02571,FNCGEDBI_02715,PDFLHPBO_04935,DBBBBKPJ_01595,GCDEOBMB_04632
dapB,dapB,4-hydroxy-tetrahydrodipicolinate reductase,5,5,1.0,1,3038,,,,807,807,807.0,INHMNHHN_02310,FNCGEDBI_02972,PDFLHPBO_04678,DBBBBKPJ_01334,GCDEOBMB_06083
group_2034,,hypothetical protein,5,5,1.0,1,3037,,,,807,807,807.0,INHMNHHN_02197,FNCGEDBI_04085,PDFLHPBO_01178,DBBBBKPJ_03697,GCDEOBMB_00770
group_2033,,transcriptional regulator,5,5,1.0,1,3036,,,,807,807,807.0,INHMNHHN_01609,FNCGEDBI_00779,PDFLHPBO_02443,DBBBBKPJ_03215,GCDEOBMB_05671
group_2032,,transcriptional regulator,5,5,1.0,1,3035,,,,807,807,807.0,INHMNHHN_01442,FNCGEDBI_00961,PDFLHPBO_02595,DBBBBKPJ_00672,GCDEOBMB_03924
group_2031,,hypothetical protein,5,5,1.0,1,3034,,,,807,807,807.0,INHMNHHN_01347,FNCGEDBI_04364,PDFLHPBO_03474,DBBBBKPJ_01846,GCDEOBMB_01742
lptF_3,lptF_3,outer membrane porin F,5,5,1.0,1,3031,,,,810,810,810.0,INHMNHHN_04256,FNCGEDBI_05188,PDFLHPBO_01698,DBBBBKPJ_02697,GCDEOBMB_02093
group_2029,,transcriptional regulator,5,5,1.0,1,3030,,,,219,219,219.0,INHMNHHN_04391,FNCGEDBI_04713,PDFLHPBO_03728,DBBBBKPJ_03865,GCDEOBMB_00290
group_2028,,hypothetical protein,5,5,1.0,1,3029,,,,810,810,810.0,INHMNHHN_03886,FNCGEDBI_01159,PDFLHPBO_02828,DBBBBKPJ_04477,GCDEOBMB_01573
group_2027,,ABC transporter ATP-binding protein,5,5,1.0,1,3028,,,,810,810,810.0,INHMNHHN_02066,FNCGEDBI_03954,PDFLHPBO_01047,DBBBBKPJ_03566,GCDEOBMB_00901
group_2026,,hypothetical protein,5,5,1.0,1,3027,,,,810,810,810.0,INHMNHHN_02029,FNCGEDBI_03917,PDFLHPBO_01010,DBBBBKPJ_03529,GCDEOBMB_00938
tam_1,tam_1,Trans-aconitate 2-methyltransferase,5,5,1.0,1,3026,,,,810,810,810.0,INHMNHHN_00354,FNCGEDBI_04987,PDFLHPBO_05918,DBBBBKPJ_05602,GCDEOBMB_04252
xthA,xthA,exonuclease III,5,5,1.0,1,3022,,,,813,813,813.0,INHMNHHN_05335,FNCGEDBI_03618,PDFLHPBO_04489,DBBBBKPJ_01722,GCDEOBMB_02488
tcdA,tcdA,tRNA threonylcarbamoyladenosine dehydratase,5,5,1.0,1,3021,,,,813,813,813.0,INHMNHHN_04467,FNCGEDBI_01026,PDFLHPBO_02660,DBBBBKPJ_00603,GCDEOBMB_03856
group_2022,,hypothetical protein,5,5,1.0,1,3020,,,,813,813,813.0,INHMNHHN_02553,FNCGEDBI_02733,PDFLHPBO_04918,DBBBBKPJ_01577,GCDEOBMB_04615
group_2021,,transcriptional regulator,5,5,1.0,1,3019,,,,813,813,813.0,INHMNHHN_02436,FNCGEDBI_02848,PDFLHPBO_04801,DBBBBKPJ_01459,GCDEOBMB_02256
group_2020,,hypothetical protein,5,5,1.0,1,3018,,,,813,813,813.0,INHMNHHN_01930,FNCGEDBI_02249,PDFLHPBO_00408,DBBBBKPJ_03418,GCDEOBMB_02904
group_2019,,hydrolase,5,5,1.0,1,3017,,,,813,813,813.0,INHMNHHN_01344,FNCGEDBI_04361,PDFLHPBO_03477,DBBBBKPJ_01849,GCDEOBMB_01745
group_2018,,enoyl-CoA hydratase,5,5,1.0,1,3016,,,,813,813,813.0,INHMNHHN_00046,FNCGEDBI_01762,PDFLHPBO_03268,DBBBBKPJ_03972,GCDEOBMB_03525
group_2015,,transcriptional regulator,5,5,1.0,1,3013,,,,816,816,816.0,INHMNHHN_06163,FNCGEDBI_03561,PDFLHPBO_06235,DBBBBKPJ_06258,GCDEOBMB_05615
pabC,pabC,4-amino-4-deoxychorismate lyase,5,5,1.0,1,3012,,,,816,816,816.0,INHMNHHN_04190,FNCGEDBI_05122,PDFLHPBO_01632,DBBBBKPJ_02630,GCDEOBMB_05650
group_2014,,hypothetical protein,5,5,1.0,1,3011,,,,816,816,816.0,INHMNHHN_02589,FNCGEDBI_02697,PDFLHPBO_04953,DBBBBKPJ_01613,GCDEOBMB_04650
rhdA,rhdA,thiosulfate:cyanide sulfurtransferase,5,5,1.0,1,3010,,,,816,816,816.0,INHMNHHN_02516,FNCGEDBI_02770,PDFLHPBO_04881,DBBBBKPJ_01540,GCDEOBMB_04578
group_2013,,hypothetical protein,5,5,1.0,1,3009,,,,816,816,816.0,INHMNHHN_01669,FNCGEDBI_03372,PDFLHPBO_02151,DBBBBKPJ_02214,GCDEOBMB_02762
group_2011,,hypothetical protein,5,5,1.0,1,3007,,,,819,819,819.0,INHMNHHN_06011,FNCGEDBI_05668,PDFLHPBO_05194,DBBBBKPJ_06006,GCDEOBMB_03768
group_2010,,enoyl-CoA hydratase,5,5,1.0,1,3006,,,,819,819,819.0,INHMNHHN_05056,FNCGEDBI_03419,PDFLHPBO_04104,DBBBBKPJ_02166,GCDEOBMB_00430
group_2009,,hypothetical protein,5,5,1.0,1,3005,,,,819,819,819.0,INHMNHHN_02693,FNCGEDBI_00744,PDFLHPBO_00758,DBBBBKPJ_04619,GCDEOBMB_04755
cpdA_1,cpdA_1,cAMP phosphodiesterase,5,5,1.0,1,3004,,,,819,819,819.0,INHMNHHN_02529,FNCGEDBI_02757,PDFLHPBO_04894,DBBBBKPJ_01553,GCDEOBMB_04591
group_2008,,phosphoenolpyruvate synthase regulatory protein,5,5,1.0,1,3003,,,,819,819,819.0,INHMNHHN_00105,FNCGEDBI_01626,PDFLHPBO_03326,DBBBBKPJ_04031,GCDEOBMB_03386
vanW,vanW,Vancomycin B-type resistance protein VanW,5,5,1.0,1,3000,,,,822,822,822.0,INHMNHHN_05060,FNCGEDBI_03415,PDFLHPBO_04108,DBBBBKPJ_02170,GCDEOBMB_00426
group_2004,,hypothetical protein,5,5,1.0,1,2998,,,,822,822,822.0,INHMNHHN_04898,FNCGEDBI_03716,PDFLHPBO_00851,DBBBBKPJ_05168,GCDEOBMB_05182
cysQ,cysQ,3'(2')5'-bisphosphate nucleotidase CysQ,5,5,1.0,1,2997,,,,822,822,822.0,INHMNHHN_04852,FNCGEDBI_03762,PDFLHPBO_00805,DBBBBKPJ_04782,GCDEOBMB_04807
group_2003,,oxidoreductase,5,5,1.0,1,2996,,,,822,822,822.0,INHMNHHN_01683,FNCGEDBI_04259,PDFLHPBO_02165,DBBBBKPJ_02228,GCDEOBMB_02776
group_2002,,amino acid ABC transporter substrate-binding protein,5,5,1.0,1,2995,,,,822,822,822.0,INHMNHHN_01470,FNCGEDBI_00918,PDFLHPBO_02567,DBBBBKPJ_00704,GCDEOBMB_03956
group_2001,,3-methyl-2-oxobutanoate hydroxymethyltransferase,5,5,1.0,1,2994,,,,822,822,822.0,INHMNHHN_01321,FNCGEDBI_04338,PDFLHPBO_03500,DBBBBKPJ_01872,GCDEOBMB_01769
bepA_2,bepA_2,Beta-barrel assembly-enhancing protease,5,5,1.0,1,2993,,,,822,822,822.0,INHMNHHN_00747,FNCGEDBI_02299,PDFLHPBO_00584,DBBBBKPJ_03367,GCDEOBMB_04201
group_2000,,hypothetical protein,5,5,1.0,1,2992,,,,822,822,822.0,INHMNHHN_00141,FNCGEDBI_01590,PDFLHPBO_03362,DBBBBKPJ_04067,GCDEOBMB_03350
atuG,atuG,short-chain dehydrogenase,5,5,1.0,1,2990,,,,825,825,825.0,INHMNHHN_04264,FNCGEDBI_05196,PDFLHPBO_01706,DBBBBKPJ_02705,GCDEOBMB_02101
cpoB_2,cpoB_2,Cell division coordinator CpoB,5,5,1.0,1,2988,,,,825,825,825.0,INHMNHHN_03743,FNCGEDBI_01291,PDFLHPBO_05813,DBBBBKPJ_02402,GCDEOBMB_01900
pilW,pilW,type 4 fimbrial biogenesis protein PilW,5,5,1.0,1,2987,,,,825,825,825.0,INHMNHHN_01963,FNCGEDBI_02216,PDFLHPBO_00441,DBBBBKPJ_03451,GCDEOBMB_02871
group_1997,,tRNA 2-thiocytidine biosynthesis protein TtcA,5,5,1.0,1,2986,,,,825,825,825.0,INHMNHHN_01405,FNCGEDBI_00998,PDFLHPBO_02632,DBBBBKPJ_00631,GCDEOBMB_03884
group_1996,,hypothetical protein,5,5,1.0,1,2985,,,,825,825,825.0,INHMNHHN_00099,FNCGEDBI_01632,PDFLHPBO_03320,DBBBBKPJ_04025,GCDEOBMB_03392
group_1995,,iron-containing alcohol dehydrogenase,5,5,1.0,1,2984,,,,1164,1164,1164.0,INHMNHHN_04558,FNCGEDBI_06052,PDFLHPBO_05292,DBBBBKPJ_04209,GCDEOBMB_04388
phnX_2,phnX_2,phosphonoacetaldehyde hydrolase,5,5,1.0,1,2980,,,,828,828,828.0,INHMNHHN_05594,FNCGEDBI_05826,PDFLHPBO_03987,DBBBBKPJ_00756,GCDEOBMB_04008
group_1990,,acyl-CoA lyase subunit beta,5,5,1.0,1,2978,,,,828,828,828.0,INHMNHHN_03646,FNCGEDBI_04179,PDFLHPBO_02266,DBBBBKPJ_02305,GCDEOBMB_01998
meh,meh,Mesaconyl-C(4)-CoA hydratase,5,5,1.0,1,2977,,,,828,828,828.0,INHMNHHN_03641,FNCGEDBI_04184,PDFLHPBO_02261,DBBBBKPJ_02300,GCDEOBMB_02003
nadE_2,nadE_2,NAD synthetase,5,5,1.0,1,2976,,,,828,828,828.0,INHMNHHN_02478,FNCGEDBI_02806,PDFLHPBO_04843,DBBBBKPJ_01501,GCDEOBMB_04539
pprB,pprB,two-component response regulator PprB,5,5,1.0,1,2975,,,,828,828,828.0,INHMNHHN_02229,FNCGEDBI_01519,PDFLHPBO_01210,DBBBBKPJ_03281,GCDEOBMB_05953
group_1989,,hypothetical protein,5,5,1.0,1,2974,,,,828,828,828.0,INHMNHHN_00004,FNCGEDBI_01804,PDFLHPBO_03226,DBBBBKPJ_06053,GCDEOBMB_03567
dapF,dapF,diaminopimelate epimerase,5,5,1.0,1,2972,,,,831,831,831.0,INHMNHHN_05967,FNCGEDBI_06076,PDFLHPBO_06116,DBBBBKPJ_05332,GCDEOBMB_03287
group_1986,,7-cyano-7-deazaguanine reductase,5,5,1.0,1,2970,,,,831,831,831.0,INHMNHHN_04366,FNCGEDBI_04736,PDFLHPBO_03752,DBBBBKPJ_03790,GCDEOBMB_00266
group_1985,,nucleoside triphosphate pyrophosphohydrolase,5,5,1.0,1,2969,,,,831,831,831.0,INHMNHHN_03702,FNCGEDBI_04123,PDFLHPBO_02320,DBBBBKPJ_02361,GCDEOBMB_01942
group_1984,,ABC transporter ATP-binding protein,5,5,1.0,1,2968,,,,831,831,831.0,INHMNHHN_02655,FNCGEDBI_02632,PDFLHPBO_00720,DBBBBKPJ_04657,GCDEOBMB_04717
prpB_2,prpB_2,2-methylisocitrate lyase,5,5,1.0,1,2967,,,,831,831,831.0,INHMNHHN_02430,FNCGEDBI_02854,PDFLHPBO_04795,DBBBBKPJ_01453,GCDEOBMB_02250
hemK,hemK,methyl transferase,5,5,1.0,1,2966,,,,831,831,831.0,INHMNHHN_00713,FNCGEDBI_02333,PDFLHPBO_00618,DBBBBKPJ_03333,GCDEOBMB_04167
group_1983,,hypothetical protein,5,5,1.0,1,2965,,,,831,831,831.0,INHMNHHN_00161,FNCGEDBI_01570,PDFLHPBO_03382,DBBBBKPJ_04087,GCDEOBMB_03330
dipZ,dipZ,thiol:disulfide interchange protein,5,5,1.0,1,2963,,,,1776,1776,1776.0,INHMNHHN_02403,FNCGEDBI_02881,PDFLHPBO_04768,DBBBBKPJ_01425,GCDEOBMB_02222
group_1981,,hypothetical protein,5,5,1.0,1,2960,,,,834,834,834.0,INHMNHHN_03592,FNCGEDBI_04234,PDFLHPBO_02207,DBBBBKPJ_02251,GCDEOBMB_02052
pstB,pstB,phosphate ABC transporter ATP-binding protein,5,5,1.0,1,2959,,,,834,834,834.0,INHMNHHN_03510,FNCGEDBI_06164,PDFLHPBO_04533,DBBBBKPJ_01156,GCDEOBMB_05316
fleN,fleN,flagellar synthesis regulator FleN,5,5,1.0,1,2958,,,,834,834,834.0,INHMNHHN_01578,FNCGEDBI_00810,PDFLHPBO_02473,DBBBBKPJ_03245,GCDEOBMB_05581
group_1980,,hypothetical protein,5,5,1.0,1,2957,,,,1167,1167,1167.0,INHMNHHN_02395,FNCGEDBI_02889,PDFLHPBO_04760,DBBBBKPJ_01417,GCDEOBMB_02214
group_1977,,thiol:disulfide interchange protein,5,5,1.0,1,2954,,,,837,837,837.0,INHMNHHN_06151,FNCGEDBI_03549,PDFLHPBO_06223,DBBBBKPJ_04824,GCDEOBMB_05603
group_1976,,hypothetical protein,5,5,1.0,1,2953,,,,837,837,837.0,INHMNHHN_05069,FNCGEDBI_03406,PDFLHPBO_04117,DBBBBKPJ_02179,GCDEOBMB_00417
group_1975,,transcriptional regulator,5,5,1.0,1,2952,,,,837,837,837.0,INHMNHHN_04239,FNCGEDBI_05171,PDFLHPBO_01681,DBBBBKPJ_02680,GCDEOBMB_02076
allE,allE,(S)-ureidoglycine aminohydrolase,5,5,1.0,1,2951,,,,837,837,837.0,INHMNHHN_03992,FNCGEDBI_01048,PDFLHPBO_02727,DBBBBKPJ_04583,GCDEOBMB_01680
rlmJ,rlmJ,Ribosomal RNA large subunit methyltransferase J,5,5,1.0,1,2950,,,,837,837,837.0,INHMNHHN_02581,FNCGEDBI_02705,PDFLHPBO_04945,DBBBBKPJ_01605,GCDEOBMB_04642
group_1974,,hypothetical protein,5,5,1.0,1,2949,,,,837,837,837.0,INHMNHHN_02164,FNCGEDBI_04052,PDFLHPBO_01145,DBBBBKPJ_03664,GCDEOBMB_00803
mscS_1,mscS_1,Small-conductance mechanosensitive channel,5,5,1.0,1,2948,,,,837,837,837.0,INHMNHHN_02128,FNCGEDBI_04016,PDFLHPBO_01109,DBBBBKPJ_03628,GCDEOBMB_00839
group_1973,,hypothetical protein,5,5,1.0,1,2947,,,,837,837,837.0,INHMNHHN_02000,FNCGEDBI_03888,PDFLHPBO_00981,DBBBBKPJ_03500,GCDEOBMB_00967
group_1972,,hypothetical protein,5,5,1.0,1,2946,,,,837,837,837.0,INHMNHHN_01263,FNCGEDBI_04280,PDFLHPBO_03603,DBBBBKPJ_01930,GCDEOBMB_01827
group_1971,,NADH pyrophosphatase,5,5,1.0,1,2944,,,,837,837,837.0,INHMNHHN_00044,FNCGEDBI_01764,PDFLHPBO_03266,DBBBBKPJ_03970,GCDEOBMB_03527
galU,galU,UTP-glucose-1-phosphate uridylyltransferase,5,5,1.0,1,2942,,,,840,840,840.0,INHMNHHN_04591,FNCGEDBI_06019,PDFLHPBO_05259,DBBBBKPJ_04176,GCDEOBMB_04421
cvfB,cvfB,Conserved virulence factor B,5,5,1.0,1,2941,,,,840,840,840.0,INHMNHHN_03968,FNCGEDBI_01072,PDFLHPBO_02751,DBBBBKPJ_04559,GCDEOBMB_01655
group_1969,,arylamine N-acetyltransferase,5,5,1.0,1,2940,,,,840,840,840.0,INHMNHHN_02384,FNCGEDBI_02900,PDFLHPBO_04749,DBBBBKPJ_01406,GCDEOBMB_02203
group_1968,,hypothetical protein,5,5,1.0,1,2939,,,,840,840,840.0,INHMNHHN_01243,FNCGEDBI_06424,PDFLHPBO_03629,DBBBBKPJ_01950,GCDEOBMB_06357
group_1965,,transmembrane sensor,5,5,1.0,1,2936,,,,843,843,843.0,INHMNHHN_05647,FNCGEDBI_05772,PDFLHPBO_03934,DBBBBKPJ_00810,GCDEOBMB_04062
ureD,ureD,urease accessory protein,5,5,1.0,1,2935,,,,843,843,843.0,INHMNHHN_02422,FNCGEDBI_02862,PDFLHPBO_04787,DBBBBKPJ_01444,GCDEOBMB_02241
group_1962,,hydrolase,5,5,1.0,1,2932,,,,1170,1170,1170.0,INHMNHHN_04234,FNCGEDBI_05166,PDFLHPBO_01676,DBBBBKPJ_02675,GCDEOBMB_02071
group_1960,,hypothetical protein,5,5,1.0,1,2930,,,,849,849,849.0,INHMNHHN_04254,FNCGEDBI_05186,PDFLHPBO_01696,DBBBBKPJ_02695,GCDEOBMB_02091
group_1959,,hypothetical protein,5,5,1.0,1,2929,,,,849,849,849.0,INHMNHHN_03991,FNCGEDBI_01049,PDFLHPBO_02728,DBBBBKPJ_04582,GCDEOBMB_01679
tam_5,tam_5,Trans-aconitate 2-methyltransferase,5,5,1.0,1,2928,,,,849,849,849.0,INHMNHHN_03038,FNCGEDBI_01363,PDFLHPBO_02009,DBBBBKPJ_00154,GCDEOBMB_05120
rsmI,rsmI,Ribosomal RNA small subunit methyltransferase I,5,5,1.0,1,2927,,,,849,849,849.0,INHMNHHN_02100,FNCGEDBI_03988,PDFLHPBO_01081,DBBBBKPJ_03600,GCDEOBMB_00867
group_1958,aguB_1,N-carbamoylputrescine amidohydrolase,5,5,1.0,1,2926,,,,849,849,849.0,INHMNHHN_02046,FNCGEDBI_03934,PDFLHPBO_01027,DBBBBKPJ_03546,GCDEOBMB_00921
nadC,nadC,nicotinate-nucleotide pyrophosphorylase,5,5,1.0,1,2925,,,,849,849,849.0,INHMNHHN_01997,FNCGEDBI_03885,PDFLHPBO_00978,DBBBBKPJ_03497,GCDEOBMB_00970
fabR,fabR,HTH-type transcriptional repressor FabR,5,5,1.0,1,2924,,,,849,849,849.0,INHMNHHN_01260,FNCGEDBI_04277,PDFLHPBO_03606,DBBBBKPJ_01933,GCDEOBMB_01830
ipk,ipk,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,5,5,1.0,1,2923,,,,849,849,849.0,INHMNHHN_00708,FNCGEDBI_02338,PDFLHPBO_00623,DBBBBKPJ_03328,GCDEOBMB_04162
pqsB,pqsB,2-heptyl-4(1H)-quinolone synthase subunit PqsB,5,5,1.0,1,2921,,,,852,852,852.0,INHMNHHN_03837,FNCGEDBI_01278,PDFLHPBO_02878,DBBBBKPJ_02005,GCDEOBMB_01524
group_1956,,hypothetical protein,5,5,1.0,1,2920,,,,852,852,852.0,INHMNHHN_03533,FNCGEDBI_06141,PDFLHPBO_04556,DBBBBKPJ_01179,GCDEOBMB_05293
group_1955,,ABC transporter permease,5,5,1.0,1,2919,,,,852,852,852.0,INHMNHHN_02656,FNCGEDBI_02631,PDFLHPBO_00721,DBBBBKPJ_04656,GCDEOBMB_04718
motA,motA,flagellar motor protein MotA,5,5,1.0,1,2918,,,,852,852,852.0,INHMNHHN_02514,FNCGEDBI_02772,PDFLHPBO_04879,DBBBBKPJ_01538,GCDEOBMB_04576
panC,panC,pantoate--beta-alanine ligase,5,5,1.0,1,2917,,,,852,852,852.0,INHMNHHN_02279,FNCGEDBI_03002,PDFLHPBO_04648,DBBBBKPJ_01304,GCDEOBMB_06053
purU1,purU1,formyltetrahydrofolate deformylase,5,5,1.0,1,2916,,,,852,852,852.0,INHMNHHN_02210,FNCGEDBI_04098,PDFLHPBO_01191,DBBBBKPJ_03710,GCDEOBMB_00757
group_1954,,potassium channel,5,5,1.0,1,2915,,,,852,852,852.0,INHMNHHN_01621,FNCGEDBI_00767,PDFLHPBO_02431,DBBBBKPJ_03203,GCDEOBMB_05683
group_1952,,transcriptional regulator,5,5,1.0,1,2913,,,,855,855,855.0,INHMNHHN_04311,FNCGEDBI_04890,PDFLHPBO_03792,DBBBBKPJ_02752,GCDEOBMB_02148
cntI_2,cntI_2,Pseudopaline exporter CntI,5,5,1.0,1,2912,,,,855,855,855.0,INHMNHHN_02391,FNCGEDBI_02893,PDFLHPBO_04756,DBBBBKPJ_01413,GCDEOBMB_02210
lepB,lepB,signal peptidase I,5,5,1.0,1,2911,,,,855,855,855.0,INHMNHHN_01646,FNCGEDBI_03395,PDFLHPBO_02128,DBBBBKPJ_02190,GCDEOBMB_00406
group_1951,,3-mercaptopyruvate sulfurtransferase,5,5,1.0,1,2910,,,,855,855,855.0,INHMNHHN_01504,FNCGEDBI_00884,PDFLHPBO_02534,DBBBBKPJ_00737,GCDEOBMB_03989
group_1950,,transcriptional regulator,5,5,1.0,1,2909,,,,855,855,855.0,INHMNHHN_01075,FNCGEDBI_05089,PDFLHPBO_04079,DBBBBKPJ_02095,GCDEOBMB_05796
folD,folD,bifunctional 510-methylene-tetrahydrofolate dehydrogenase/ 510-methylene-tetrahydrofolate cyclohydrolase,5,5,1.0,1,2908,,,,855,855,855.0,INHMNHHN_00078,FNCGEDBI_01653,PDFLHPBO_03299,DBBBBKPJ_04004,GCDEOBMB_03413
phaD,phaD,poly(3-hydroxyalkanoic acid) depolymerase,5,5,1.0,1,2903,,,,858,858,858.0,INHMNHHN_02619,FNCGEDBI_02667,PDFLHPBO_00683,DBBBBKPJ_04694,GCDEOBMB_04680
group_1946,,ABC transporter ATP-binding protein,5,5,1.0,1,2902,,,,858,858,858.0,INHMNHHN_02419,FNCGEDBI_02865,PDFLHPBO_04784,DBBBBKPJ_01441,GCDEOBMB_02238
group_1945,,hypothetical protein,5,5,1.0,1,2901,,,,858,858,858.0,INHMNHHN_02339,FNCGEDBI_02942,PDFLHPBO_04708,DBBBBKPJ_01364,GCDEOBMB_06113
group_1942,,transcriptional regulator,5,5,1.0,1,2897,,,,861,861,861.0,INHMNHHN_05592,FNCGEDBI_05828,PDFLHPBO_03989,DBBBBKPJ_00754,GCDEOBMB_04006
group_1940,,hypothetical protein,5,5,1.0,1,2895,,,,861,861,861.0,INHMNHHN_02325,FNCGEDBI_02956,PDFLHPBO_04694,DBBBBKPJ_01350,GCDEOBMB_06099
group_1939,,hypothetical protein,5,5,1.0,1,2894,,,,861,861,861.0,INHMNHHN_02172,FNCGEDBI_04060,PDFLHPBO_01153,DBBBBKPJ_03672,GCDEOBMB_00795
rapZ,rapZ,RNase adapter protein RapZ,5,5,1.0,1,2893,,,,861,861,861.0,INHMNHHN_02056,FNCGEDBI_03944,PDFLHPBO_01037,DBBBBKPJ_03556,GCDEOBMB_00911
group_1938,,hydrolase,5,5,1.0,1,2892,,,,861,861,861.0,INHMNHHN_01345,FNCGEDBI_04362,PDFLHPBO_03476,DBBBBKPJ_01848,GCDEOBMB_01744
speE_1,speE_1,polyamine aminopropyltransferase,5,5,1.0,1,2890,,,,861,861,861.0,INHMNHHN_00188,FNCGEDBI_01542,PDFLHPBO_03409,DBBBBKPJ_04114,GCDEOBMB_03303
group_1934,,hypothetical protein,5,5,1.0,1,2887,,,,864,864,864.0,INHMNHHN_03541,FNCGEDBI_06133,PDFLHPBO_04564,DBBBBKPJ_01187,GCDEOBMB_05285
ftsQ,ftsQ,cell division protein FtsQ,5,5,1.0,1,2886,,,,864,864,864.0,INHMNHHN_02113,FNCGEDBI_04001,PDFLHPBO_01094,DBBBBKPJ_03613,GCDEOBMB_00854
group_1933,,hypothetical protein,5,5,1.0,1,2885,,,,864,864,864.0,INHMNHHN_01473,FNCGEDBI_00915,PDFLHPBO_02564,DBBBBKPJ_00707,GCDEOBMB_03959
uspE_1,uspE_1,Universal stress protein E,5,5,1.0,1,2884,,,,864,864,864.0,INHMNHHN_00085,FNCGEDBI_01646,PDFLHPBO_03306,DBBBBKPJ_04011,GCDEOBMB_03406
group_1932,,transcriptional regulator,5,5,1.0,1,2883,,,,864,864,864.0,INHMNHHN_00012,FNCGEDBI_01796,PDFLHPBO_03234,DBBBBKPJ_03938,GCDEOBMB_03559
kynA,kynA,tryptophan 23-dioxygenase,5,5,1.0,1,2879,,,,867,867,867.0,INHMNHHN_05371,FNCGEDBI_03654,PDFLHPBO_04450,DBBBBKPJ_01678,GCDEOBMB_02449
group_1930,,putative metallo-hydrolase,5,5,1.0,1,2877,,,,867,867,867.0,INHMNHHN_04241,FNCGEDBI_05173,PDFLHPBO_01683,DBBBBKPJ_02682,GCDEOBMB_02078
group_1929,,hypothetical protein,5,5,1.0,1,2876,,,,867,867,867.0,INHMNHHN_03860,FNCGEDBI_01185,PDFLHPBO_02855,DBBBBKPJ_04448,GCDEOBMB_01547
